id,host_is_superhost,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,average_review
2671680,t,1,1,2,1.5,1.0,1.0,6523,$80.00,4,30,84,9.95
2679456,t,80,80,4,2.0,2.0,1.0,6523,$200.00,90,368,6,8.25
2688739,t,3,3,2,1.0,1.0,1.0,6523,$87.00,1,1125,31,9.483333333333334
2693387,f,1,1,10,2.0,3.0,8.0,6523,$132.00,1,29,103,9.5
2695259,t,1,1,6,1.0,3.0,3.0,6523,$120.00,1,1125,113,9.75
2702182,f,1,1,2,1.0,1.0,1.0,6523,$239.00,30,1125,0,
2715815,t,80,80,4,1.0,1.0,2.0,6523,$100.00,31,1125,15,9.55
2721621,t,4,4,2,1.0,,0.0,6523,$39.00,30,60,8,9.916666666666668
2730613,t,2,2,4,1.0,1.0,3.0,6523,$79.00,2,1000,133,9.8
2731202,t,2,2,4,1.0,2.0,2.0,6523,$89.00,30,180,141,9.8
2782345,t,1,1,2,1.0,1.0,1.0,6523,$124.00,3,1125,74,9.616666666666667
2817608,f,8,8,4,2.0,2.0,2.0,6523,$289.00,3,1125,13,8.816666666666666
2819982,t,80,80,4,2.0,2.0,2.0,6523,$200.00,60,1125,8,9.216666666666667
2824585,f,6,6,2,1.0,1.0,1.0,6523,$33.00,3,1125,21,9.766666666666666
2832376,t,80,80,4,1.0,1.0,2.0,6523,$135.00,31,1125,7,9.233333333333334
2836339,t,80,80,2,1.0,1.0,1.0,6523,$145.00,32,365,5,9.666666666666668
2837146,t,2,2,9,1.0,2.0,2.0,6523,$119.00,2,29,170,9.9
2844042,t,6,6,3,1.0,1.0,2.0,6523,$78.00,28,1125,150,9.9
2874486,t,2,2,5,2.0,2.0,2.0,6523,$141.00,2,1125,104,9.95
2875902,t,80,80,5,2.0,2.0,3.0,6523,$220.00,32,1113,5,
2879976,t,2,2,2,1.0,1.0,1.0,6523,$78.00,1,1124,249,9.816666666666666
2907112,t,2,2,1,1.0,1.0,1.0,6523,$136.00,4,1125,57,9.866666666666667
2907500,t,1,1,2,1.0,1.0,1.0,6523,$34.00,1,1125,314,9.85
2934604,t,1,1,2,1.0,1.0,1.0,6523,$159.00,1,1125,269,10.0
2979322,f,1,1,2,1.0,1.0,1.0,6523,$200.00,28,90,6,9.85
3031898,t,2,2,2,2.0,2.0,1.0,6523,$70.00,32,1125,245,9.766666666666666
3052275,f,2,2,2,1.0,1.0,1.0,6523,$100.00,1,1125,71,9.4
